RESULT,PONO,BATCHNO,MIXNO,PDATE,M1T10,T10RE,M1T90,T90RE,M1ML,M1MH,D2MN,D2MNRE,Hard,HardRE,ram_count_closed,ram_closedtime,ram_closedtimemax,ram_opentime,ram_opentimemax,temp_avg_all,temp_avg_when_ram_closed,temp_avg_when_ram_open,temp_max_when_ram_closed,temp_max_when_ram_open,temp_max_minus_min_when_ram_closed,tempinc_avg_when_ram_closed,tempinc_max_when_ram_closed,heat_flux_when_ram_all,heat_flux_when_ram_closed,heat_flux_when_ram_open,volt_avg_all,volt_avg_when_ram_closed,volt_avg_when_ram_open,volt_max_when_ram_closed,volt_max_when_ram_open,volt_max_minus_min,physics_flux_all,physics_flux_when_ram_closed,physics_flux_when_ram_open
OK,14685152,12,K-PMB-17G,737868,134.0,OK,494.0,OK,4.23,23.59,99.7,OK,86.0,OK,4,235,120,63,35,87.54530201342281,92.48680851063827,69.11269841269842,125.0,118.5,125.0,0.0030642871148275595,0.0834670947030498,26088.5,21734.4,4354.1,125.97651006711409,149.11063829787233,39.68253968253968,210.0,130.0,210.0,37541.0,35041.0,2500.0
NG,14684383,1,K-PMB-17G,737867,120.0,OK,492.0,OK,5.15,26.48,112.7,NG,87.0,OK,5,199,74,123,43,87.50093167701864,95.29698492462309,74.88780487804877,134.1,130.4,134.1,0.005973113623154479,0.15056179775280906,28175.300000000007,18964.1,9211.2,120.972049689441,147.22613065326632,78.4959349593496,205.0,159.0,205.0,38953.0,29298.0,9655.0
NG,14684383,3,K-PMB-17G,737867,139.0,OK,571.0,NG,5.76,26.66,116.2,NG,86.0,OK,4,173,74,152,70,99.70215384615385,101.71387283236994,97.4125,135.4,130.8,135.4,0.004493469670269429,0.07086614173228346,32403.2,17596.5,14806.7,122.53846153846152,170.092485549133,68.41447368421052,218.0,186.0,218.0,39825.0,29426.0,10399.0
NG,14684383,6,K-PMB-17G,737867,124.0,OK,469.0,OK,5.14,27.01,111.6,NG,87.0,OK,5,209,76,114,65,90.32291021671827,98.12153110047846,76.02543859649123,127.8,123.9,127.8,0.004030560569664678,0.15646258503401367,29174.3,20507.4,8666.9,121.52631578947368,154.31578947368422,61.412280701754376,221.0,182.0,221.0,39253.0,32252.0,7001.0
NG,14684383,9,K-PMB-17G,737867,135.0,OK,527.0,OK,4.91,25.08,110.5,NG,85.0,OK,5,216,75,108,59,92.39413580246914,100.81157407407407,75.55925925925928,134.7,130.9,134.7,0.004437999126230789,0.05273069679849362,29935.7,21775.300000000007,8160.400000000002,135.85802469135805,170.7407407407407,66.0925925925926,239.0,176.0,239.0,44018.0,36880.0,7138.0
NG,14684383,12,K-PMB-17G,737867,123.0,OK,442.0,OK,4.73,26.74,106.4,NG,87.0,OK,5,242,85,80,33,94.53975155279505,99.02438016528927,80.97375,130.0,128.2,130.0,0.0034874829646568944,0.08928571428571429,30441.800000000007,23963.9,6477.9,128.69254658385094,154.95454545454547,49.25,236.0,176.0,236.0,41439.0,37499.0,3940.0
NG,14684383,15,K-PMB-17G,737867,128.0,OK,483.0,OK,5.39,26.48,107.0,NG,86.0,OK,5,238,83,85,36,88.1721362229102,91.05210084033614,80.10823529411766,120.9,116.6,120.9,0.002720533558862409,0.05706134094151213,28479.6,21670.4,6809.2,114.6904024767802,140.8109243697479,41.5529411764706,202.0,167.0,202.0,37045.0,33513.0,3532.0
NG,14684383,18,K-PMB-17G,737867,122.0,OK,472.0,OK,4.81,24.32,106.0,NG,86.0,OK,5,209,76,89,35,86.37114093959732,91.21674641148329,74.99213483146066,120.9,115.9,120.9,0.003614951716420355,0.051752921535892935,25738.6,19064.300000000007,6674.299999999998,120.43959731543623,147.13875598086125,57.74157303370786,208.0,136.0,208.0,35891.0,30752.0,5139.0
NG,14683621,1,K-PMB-17G,737866,134.0,OK,466.0,OK,4.54,25.24,102.3,NG,87.0,OK,4,240,120,83,40,76.28235294117648,86.55375000000002,46.58192771084338,119.5,115.5,119.5,0.005128741670673222,0.17783505154639193,24639.200000000004,20772.9,3866.3,121.91331269349844,152.22916666666666,34.253012048192765,224.0,140.0,224.0,39378.0,36535.0,2843.0
NG,14683621,3,K-PMB-17G,737866,130.0,OK,472.0,OK,4.21,26.25,106.8,NG,88.0,OK,5,238,84,85,39,81.92414860681114,87.1609243697479,67.26117647058824,117.9,112.5,117.9,0.0030432129993787954,0.05564648117839605,26461.5,20744.3,5717.2,110.64705882352942,138.6218487394958,32.31764705882353,203.0,161.0,203.0,35739.0,32992.0,2747.0
NG,14682833,1,K-PMB-17G,737865,98.0,NG,390.0,OK,5.18,25.38,113.6,NG,87.0,OK,6,202,75,121,42,86.67306501547986,94.17475247524752,74.14958677685951,133.5,128.2,133.5,0.006290942045794445,0.13691931540342306,27995.4,19023.3,8972.099999999999,122.82043343653251,149.83663366336634,77.71900826446281,202.0,168.0,202.0,39671.0,30267.0,9404.0
NG,14682833,2,K-PMB-17G,737865,117.0,OK,440.0,OK,5.24,24.18,117.1,NG,88.0,OK,5,195,85,128,44,105.43653250773994,107.39743589743591,102.44921875,145.6,142.4,145.6,0.00405495022668091,0.04935064935064931,34056.0,20942.5,13113.5,140.78947368421052,179.33846153846153,82.0625,242.0,162.0,242.0,45475.0,34971.0,10504.0
NG,14682833,3,K-PMB-17G,737865,106.0,OK,396.0,OK,5.59,26.33,117.1,NG,87.0,OK,7,183,74,170,73,94.18073654390936,98.52076502732244,89.50882352941177,131.6,130.7,131.6,0.0043916821382351656,0.06666666666666668,33245.8,18029.300000000007,15216.5,107.05382436260624,152.24590163934425,58.40588235294118,206.0,169.0,206.0,37790.0,27861.0,9929.0
NG,14682833,6,K-PMB-17G,737865,114.0,OK,438.0,OK,4.92,25.14,108.2,NG,85.0,OK,6,246,80,77,37,78.37306501547988,83.98739837398375,60.43636363636365,124.0,121.3,124.0,0.008628406313613288,0.7448979591836735,25314.5,20660.9,4653.6,121.72136222910216,139.08943089430895,66.23376623376622,217.0,164.0,217.0,39316.0,34216.0,5100.0
NG,14682833,9,K-PMB-17G,737865,115.0,OK,433.0,OK,4.77,26.05,108.7,NG,87.0,OK,5,233,85,66,35,89.24080267558527,93.44077253218883,74.41363636363639,126.7,122.6,126.7,0.003663512650536578,0.07762557077625562,26683.0,21771.7,4911.3,124.69565217391305,142.64377682403438,61.33333333333334,204.0,176.0,204.0,37284.0,33236.0,4048.0
NG,14682802,1,K-PMB-17G,737864,124.0,OK,482.0,OK,4.36,22.68,101.5,NG,86.0,OK,5,237,84,86,41,71.59226006191952,81.66329113924051,43.83837209302325,116.2,111.0,116.2,0.00321869178304186,0.06175298804780865,23124.300000000007,19354.2,3770.1,116.72136222910216,139.9029535864979,52.83720930232558,220.0,193.0,220.0,37701.0,33157.0,4544.0
NG,14682802,6,K-PMB-17G,737864,127.0,OK,477.0,OK,4.89,25.94,109.3,NG,87.0,OK,5,239,84,84,38,92.07863777089784,97.27112970711298,77.3047619047619,126.3,122.9,126.3,0.0026416732925585514,0.035112359550561786,29741.4,23247.800000000007,6493.5999999999985,128.03715170278642,146.64853556485355,75.08333333333333,200.0,213.0,200.0,41356.0,35049.0,6307.0
